ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016,NSE,Unclassified,Unclassified,NUVOCO.NS,IN,NSE_MAINBOARD
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,NSE,Consumer Services,Consumer Services,NYKAA.NS,IN,NSE_MAINBOARD
OAL,Oriental Aromatics Limited,INE959C01023,NSE,Unclassified,Unclassified,OAL.NS,IN,NSE_MAINBOARD
OBCL,OBCL Limited,INE426Z01016,NSE,Unclassified,Unclassified,OBCL.NS,IN,NSE_MAINBOARD
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,NSE,Realty,Realty,OBEROIRLTY.NS,IN,NSE_MAINBOARD
OCCLLTD,OCCL Limited,INE0PK601023,NSE,Unclassified,Unclassified,OCCLLTD.NS,IN,NSE_MAINBOARD
ODIGMA,Odigma Consultancy Solutions Limited,INE054301028,NSE,Unclassified,Unclassified,ODIGMA.NS,IN,NSE_MAINBOARD
OFSS,Oracle Financial Services Software Limited,INE881D01027,NSE,Information Technology,Information Technology,OFSS.NS,IN,NSE_MAINBOARD
OIL,Oil India Limited,INE274J01014,NSE,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,OIL.NS,IN,NSE_MAINBOARD
OILCOUNTUB,Oil Country Tubular Limited,INE591A01010,NSE,Unclassified,Unclassified,OILCOUNTUB.NS,IN,NSE_MAINBOARD
OLAELEC,Ola Electric Mobility Limited,INE0LXG01040,NSE,Unclassified,Unclassified,OLAELEC.NS,IN,NSE_MAINBOARD
OLECTRA,Olectra Greentech Limited,INE260D01016,NSE,Unclassified,Unclassified,OLECTRA.NS,IN,NSE_MAINBOARD
OMAXAUTO,Omax Autos Limited,INE090B01011,NSE,Unclassified,Unclassified,OMAXAUTO.NS,IN,NSE_MAINBOARD
OMAXE,Omaxe Limited,INE800H01010,NSE,Unclassified,Unclassified,OMAXE.NS,IN,NSE_MAINBOARD
OMFREIGHT,Om Freight Forwarders Limited,INE1BZC01019,NSE,Unclassified,Unclassified,OMFREIGHT.NS,IN,NSE_MAINBOARD
OMINFRAL,OM INFRA LIMITED,INE239D01028,NSE,Unclassified,Unclassified,OMINFRAL.NS,IN,NSE_MAINBOARD
OMNI,Omnitech Engineering Limited,INE0UH301010,NSE,Unclassified,Unclassified,OMNI.NS,IN,NSE_MAINBOARD
OMPOWER,Om Power Transmission Limited,INE25E901019,NSE,Unclassified,Unclassified,OMPOWER.NS,IN,NSE_MAINBOARD
ONELIFECAP,Onelife Capital Advisors Limited,INE912L01015,NSE,Unclassified,Unclassified,ONELIFECAP.NS,IN,NSE_MAINBOARD
ONEPOINT,One Point One Solutions Limited,INE840Y01029,NSE,Unclassified,Unclassified,ONEPOINT.NS,IN,NSE_MAINBOARD
ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021,NSE,Unclassified,Unclassified,ONESOURCE.NS,IN,NSE_MAINBOARD
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,NSE,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,ONGC.NS,IN,NSE_MAINBOARD
ONIDA,Onida Electronics Limited,INE831A01028,NSE,Unclassified,Unclassified,ONIDA.NS,IN,NSE_MAINBOARD
ONMOBILE,OnMobile Global Limited,INE809I01019,NSE,Unclassified,Unclassified,ONMOBILE.NS,IN,NSE_MAINBOARD
ONWARDTEC,Onward Technologies Limited,INE229A01017,NSE,Unclassified,Unclassified,ONWARDTEC.NS,IN,NSE_MAINBOARD
OPTIEMUS,Optiemus Infracom Limited,INE350C01017,NSE,Unclassified,Unclassified,OPTIEMUS.NS,IN,NSE_MAINBOARD
ORBTEXP,Orbit Exports Limited,INE231G01010,NSE,Unclassified,Unclassified,ORBTEXP.NS,IN,NSE_MAINBOARD
ORCHASP,Orchasp Limited,INE215B01022,NSE,Unclassified,Unclassified,ORCHASP.NS,IN,NSE_MAINBOARD
ORCHPHARMA,Orchid Pharma Limited,INE191A01027,NSE,Unclassified,Unclassified,ORCHPHARMA.NS,IN,NSE_MAINBOARD
ORICONENT,Oricon Enterprises Limited,INE730A01022,NSE,Unclassified,Unclassified,ORICONENT.NS,IN,NSE_MAINBOARD
ORIENTALTL,Oriental Trimex Limited,INE998H01012,NSE,Unclassified,Unclassified,ORIENTALTL.NS,IN,NSE_MAINBOARD
ORIENTBELL,Orient Bell Limited,INE607D01018,NSE,Unclassified,Unclassified,ORIENTBELL.NS,IN,NSE_MAINBOARD
ORIENTCEM,Orient Cement Limited,INE876N01018,NSE,Unclassified,Unclassified,ORIENTCEM.NS,IN,NSE_MAINBOARD
ORIENTCER,ORIENT CERATECH LIMITED,INE569C01020,NSE,Unclassified,Unclassified,ORIENTCER.NS,IN,NSE_MAINBOARD
ORIENTELEC,Orient Electric Limited,INE142Z01019,NSE,Unclassified,Unclassified,ORIENTELEC.NS,IN,NSE_MAINBOARD
ORIENTHOT,Oriental Hotels Limited,INE750A01020,NSE,Unclassified,Unclassified,ORIENTHOT.NS,IN,NSE_MAINBOARD
ORIENTLTD,Orient Press Limited,INE609C01024,NSE,Unclassified,Unclassified,ORIENTLTD.NS,IN,NSE_MAINBOARD
ORIENTPPR,Orient Paper & Industries Limited,INE592A01026,NSE,Unclassified,Unclassified,ORIENTPPR.NS,IN,NSE_MAINBOARD
ORIENTTECH,Orient Technologies Limited,INE0PPK01015,NSE,Unclassified,Unclassified,ORIENTTECH.NS,IN,NSE_MAINBOARD
